1, 3051856
2, 1197018
3, 1022046
4, 636772
5, 308072
6, 120823
7, 41116
8, 13269
9, 4929
10, 2590
11, 1805
12, 1404
13, 1112
14, 884
15, 715
16, 502
17, 399
18, 336
19, 275
20, 225
21, 169
22, 127
23, 119
24, 99
25, 76
26, 66
27, 50
28, 35
29, 32
30, 25
31, 9
32, 14
33, 14
34, 8
35, 6
36, 6
37, 2
38, 4
39, 3
40, 5
41, 3
42, 4
43, 5
44, 2
45, 2
46, 3
47, 2
48, 2
49, 3
51, 1
52, 2
53, 3
54, 1
55, 7
56, 3
57, 4
58, 3
59, 5
60, 2
61, 3
62, 3
63, 5
64, 2
65, 3
66, 2
67, 4
68, 4
69, 2
70, 5
73, 2
74, 2
76, 2
77, 1
79, 3
81, 2
82, 1
84, 1
85, 1
86, 1
87, 2
88, 1
89, 1
90, 2
91, 1
93, 1
94, 1
95, 3
96, 1
97, 1
99, 1
101, 1
102, 2
103, 1
105, 2
107, 2
109, 2
110, 1
111, 1
112, 1
113, 1
114, 1
115, 1
121, 1
125, 1
126, 1
129, 1
136, 1
139, 1
140, 1
141, 1
